model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
7,115.5,0.16645777,0.13420793,0.46570587,52.72096,solar effect
7,116.5,0.16265452,0.1311846,0.45591214,51.577415,solar effect
7,117.5,0.15901087,0.12835377,0.44680455,50.50917,solar effect
7,118.5,0.15571564,0.12580895,0.43881494,49.588253,solar effect
7,119.5,0.15274139,0.12348637,0.43171418,48.77961,solar effect
7,120.5,0.14999342,0.121340126,0.42514908,48.033005,solar effect
7,121.5,0.14748082,0.11944737,0.41936368,47.401386,solar effect
7,122.5,0.14517403,0.117706195,0.41410208,46.824577,solar effect
7,123.5,0.14304055,0.11612862,0.40924138,46.297714,solar effect
7,124.5,0.14109957,0.114716195,0.40490162,45.83203,solar effect
